feature,KETOD,DSTC9,DSTC11,KETOD_rank,DSTC9_rank,DSTC11_rank
turn_position_ratio,0.6709331785381746,0.0,0.0,2,9,9
prev_sys_is_question,0.27585127336848886,0.017194930265021467,0.061557618797586415,6,8,8
user_has_question,0.22935758466195932,1.8188348784042725,1.3856181365991813,8,1,2
user_starts_question_word,0.08301171969681141,0.5966013411287282,0.7479397660516841,9,4,3
user_turn_len_log,0.5877362814063204,0.0614536316292355,0.39014769838583424,3,7,5
sys_turn_len_log,0.5797147325489019,0.24175159396258744,0.2589104010847259,4,6,7
dialogue_len_log,0.34484782099007977,0.49576948600801096,0.35928024998527436,5,5,6
consecutive_sys_turns,0.0,1.0265158670262986,2.444394492089201,10,2,1
turn_len_ratio,0.8400779180758011,1.022012397306923,0.4038596028965889,1,3,4
turn_position_squared,0.24498644726669594,0.0,0.0,7,9,9
